staff_member,appt_date,appt_time,slot,units_sched_10min_per_unit,client_id,patient_id,staff_requested,reason_desc,breedname
6,8/18/2022,10:50:00,65,2,23000,29366,6,New Client,Shiba Inu
L11,8/18/2022,11:00:00,66,2,8140,15637,,Sick,"Bulldog, French"
6,8/18/2022,11:10:00,67,2,20311,20311-1,,Sick,Domestic Mediumhair
L11,8/18/2022,11:20:00,68,1,21820,26432,,Technician Appointment,"Retriever, Golden"
6,8/18/2022,11:30:00,69,2,12306,20774,,Senior Exam,Husky Mix
L11,8/18/2022,11:30:00,69,1,8343,13400,,TNT,Chihuahua Mix
19,8/18/2022,11:40:00,70,1,7,7-6,,Senior Exam,Domestic Shorthair
19,8/18/2022,11:50:00,71,1,7,7-2,,Senior Exam,Domestic Shorthair
6,8/18/2022,11:50:00,71,2,12023,12023-2,,Suture Removal,"Terrier, West Highland White"
19,8/18/2022,12:00:00,72,2,6733,29374,,New Pet,Pitbull Mix
6,8/18/2022,12:10:00,73,2,22890,29082,,New Client,DSH
19,8/18/2022,12:20:00,74,3,22119,27123,,Sick,LABRADOR RETRIEVER
19,8/18/2022,13:20:00,80,2,11925,20252,,Preventative Care Exam,GERMAN SHEPHERD
19,8/18/2022,13:40:00,82,2,4041,6356,,Sick,Shih Tzu
6,8/18/2022,13:50:00,83,2,15365,5354,,Sick,Chihuahua Mix
19,8/18/2022,14:00:00,84,3,22152,27216,,Sick,"Goldendoodle, mini"
TK,8/18/2022,14:00:00,84,1,7690,12157,,Technician Appointment,"Dachshund, Miniature"
6,8/18/2022,14:10:00,85,2,8279,18404,,Preventative Care Exam,Domestic Shorthair
19,8/18/2022,14:30:00,87,3,15671,21021,,Recheck,YORKSHIRE TERRIER
6,8/18/2022,14:30:00,87,2,10167,16877,,Sick,Pitbull
TK,8/18/2022,14:40:00,88,1,10721,18024,,TNT,Retriever
6,8/18/2022,14:50:00,89,2,11037,3108,,Not Wellness,Siamese
6,8/18/2022,15:10:00,91,2,22980,29311,,New Client,Shiba Inu
TK,8/18/2022,15:10:00,91,1,3544,5608,,TNT,Bichon Frise Mix
6,8/18/2022,15:30:00,93,2,22988,29336,,New Client,Beagle
6,8/18/2022,15:50:00,95,2,22988,29337,,New Client,Beagle
19,8/18/2022,16:00:00,96,3,1634,6092,,Sick,"Shepherd, Australian Mix"
6,8/18/2022,16:10:00,97,2,12567,21342,,Preventative Care Exam,Boxer Mix
TK,8/18/2022,16:10:00,97,1,22527,28058,,Technician Appointment,Domestic Shorthair
19,8/18/2022,16:30:00,99,3,16681,27685,,Recheck,Beagle
6,8/18/2022,16:30:00,99,1,12567,24485,,Preventative Care Exam,Domestic Shorthair
6,8/18/2022,16:40:00,100,2,18737,18737-2,,Sick,"Chihuahua, Smooth-coated"
19,8/18/2022,17:00:00,102,2,2382,3754,,Preventative Care Exam,LABRADOR RETRIEVER
6,8/18/2022,17:00:00,102,2,20793,5552,,Preventative Care Exam,Domestic Shorthair
19,8/18/2022,17:20:00,104,3,4868,4868-1,,Sick,"Shepherd, German Mix"
6,8/18/2022,17:20:00,104,2,20793,5551,,Preventative Care Exam,Domestic Shorthair
6,8/18/2022,17:40:00,106,2,10665,27178,,Sick,"Mastiff, Old English"
19,8/18/2022,17:50:00,107,2,15376,15376-4,,Senior Exam,Goldendoodle
TK,8/18/2022,17:50:00,107,1,20123,28894,,Technician Appointment,"Setter, Irish"
TK,8/18/2022,18:00:00,108,1,6104,26395,,Technician Appointment,Domestic Longhair
19,8/18/2022,18:10:00,109,3,22917,29149,,Sick,GERMAN SHORTHAIRED POINTER
TK,8/18/2022,18:10:00,109,1,5089,12753,,Technician Appointment,JACK RUSSELL TERRIER
19,8/18/2022,18:40:00,112,3,10248,17056,,Euthanasia,"Bulldog, English"
TK,8/18/2022,18:50:00,113,1,11566,20030,,Technician Appointment,Mixed
19,8/18/2022,19:10:00,115,2,16929,29553,,Technician Appointment,Domestic Shorthair
TK,8/18/2022,19:20:00,116,1,11566,19612,,Technician Appointment,DOBERMAN PINSCHER
TK,8/19/2022,7:30:00,45,1,22641,28385,,Drop off - Admit,Chihuahua Mix
11,8/19/2022,7:40:00,46,1,10463,28211,11,Drop off - Admit,"Collie, Border"
6,8/19/2022,7:50:00,47,1,23096,29618,,Exam,LABRADOR RETRIEVER
11,8/19/2022,8:30:00,51,1,22956,29251,,New Client,WEST HIGHLAND WHITE TERRIER
6,8/19/2022,8:30:00,51,2,15002,29375,,Preventative Care Exam,Domestic Shorthair
L19,8/19/2022,8:30:00,51,2,10358,17305,,Preventative Care Exam,Boxer
11,8/19/2022,8:40:00,52,1,13240,22682,,Recheck,"Pug, Chinese"
6,8/19/2022,8:50:00,53,2,15002,15002-1,,Sick,Domestic Shorthair
L19,8/19/2022,8:50:00,53,1,10358,17306,,Preventative Care Exam,Boxer
L19,8/19/2022,9:00:00,54,2,22366,27671,,Recheck,Pitbull Mix
TK,8/19/2022,9:00:00,54,1,21976,28080,,Technician Appointment,"Retriever, Golden"
11,8/19/2022,9:10:00,55,2,4164,25715,,Preventative Care Exam,Domestic Shorthair
6,8/19/2022,9:10:00,55,1,2289,21850,6,Recheck,Shih-poo
TK,8/19/2022,9:10:00,55,1,19692,1020,,TNT,Ragdoll
6,8/19/2022,9:20:00,56,1,L6554,29454,,New Pet,Maltese
L19,8/19/2022,9:20:00,56,2,11051,18663,,Sick,Samoyed
11,8/19/2022,9:30:00,57,2,2526,4006,11,Euthanasia,Domestic Shorthair
6,8/19/2022,9:30:00,57,2,4376,24858,,Preventative Care Exam,Domestic Shorthair
L19,8/19/2022,9:40:00,58,2,18861,29469,19,Recheck,Beagle Mix
11,8/19/2022,9:50:00,59,2,22925,29170,,Preventative Care Exam,Domestic Mediumhair
6,8/19/2022,9:50:00,59,2,9460,15512,,Sick,COCK-APOO
TK,8/19/2022,9:50:00,59,1,15590,28990,,Technician Appointment,"Terrier, Yorkshire Mix"
L19,8/19/2022,10:00:00,60,2,10162,18107,19,Preventative Care Exam,Goldendoodle
TK,8/19/2022,10:00:00,60,1,3387,8719,,TNT,Domestic Shorthair
11,8/19/2022,10:10:00,61,2,723,1128,,Recheck,"Shepherd, Australian Mix"
6,8/19/2022,10:10:00,61,2,10732,18035,,Sick,AUSTRALIAN SHEPHERD
TK,8/19/2022,10:10:00,61,1,3387,6407,,TNT,DSH
L19,8/19/2022,10:20:00,62,1,4613,7229,,Technician Appointment,DSH
11,8/19/2022,10:30:00,63,2,9034,14810,,Sick,Bulldog
6,8/19/2022,10:30:00,63,2,11019,29073,,Preventative Care Exam,Domestic Shorthair
L19,8/19/2022,10:30:00,63,3,L5823,29610,19,New Pet,Domestic Shorthair
TK,8/19/2022,10:40:00,64,1,11019,27616,,TNT,Domestic Shorthair
11,8/19/2022,10:50:00,65,2,22888,29075,,Preventative Care Exam,Bernadoodle- Bernese and Poodl
6,8/19/2022,10:50:00,65,2,22777,29448,,Recheck,Goldendoodle
L19,8/19/2022,11:00:00,66,2,7695,12176,,Sick,Schnauzer Mix
11,8/19/2022,11:10:00,67,2,11412,19319,,Sick,"Goldendoodle, mini"
6,8/19/2022,11:10:00,67,2,2531,6214,,Sick,Domestic Shorthair
L19,8/19/2022,11:20:00,68,1,22516,28487,,Technician Appointment,LABRADOR RETRIEVER
TK,8/19/2022,11:20:00,68,1,8176,8176-4,,Lab Work,Domestic Shorthair
11,8/19/2022,11:30:00,69,2,8211,13148,,Preventative Care Exam,Goldendoodle
6,8/19/2022,12:00:00,72,1,22408,27774,,Emergency,LABRADOR RETRIEVER
6,8/19/2022,12:30:00,75,2,7304,29054,,Preventative Care Exam,"Shepherd, German"
6,8/19/2022,12:50:00,77,2,17459,25129,,Preventative Care Exam,Domestic Shorthair
6,8/19/2022,13:10:00,79,1,17459,25128,,Preventative Care Exam,MAINE COON CAT
6,8/19/2022,13:20:00,80,2,20475,20475-2,,Sick,Domestic Shorthair
L19,8/19/2022,13:30:00,81,2,10800,18169,,Senior Exam,Vizsla
M11,8/19/2022,13:30:00,81,1,22775,28803,,Technician Appointment,Mixed
6,8/19/2022,13:40:00,82,2,15250,15250-4,6,Recheck,Domestic Shorthair
M11,8/19/2022,13:40:00,82,1,22775,28802,,Technician Appointment,Retriever
L19,8/19/2022,13:50:00,83,3,8045,12832,,Sick,Domestic Shorthair
M11,8/19/2022,13:50:00,83,2,9342,15312,,Senior Exam,Boxer Mix
6,8/19/2022,14:00:00,84,2,5988,9133,,Sick,Mixed
TK,8/19/2022,14:00:00,84,1,3971,2006,,Technician Appointment,JACK RUSSELL TERRIER
M11,8/19/2022,14:10:00,85,2,9342,15311,,Senior Exam,Greyhound
6,8/19/2022,14:20:00,86,2,19893,19893-1,,Recheck,Domestic Longhair
L19,8/19/2022,14:20:00,86,2,3962,6274,,Senior Exam,COCKER SPANIEL
M11,8/19/2022,14:30:00,87,2,23037,29461,,New Client,Domestic Longhair
6,8/19/2022,14:40:00,88,2,5711,8760,,Sick,DOBERMAN PINSCHER
L19,8/19/2022,14:40:00,88,2,L4558,11961,,Preventative Care Exam,Bernadoodle- Bernese and Poodl
TK,8/19/2022,14:40:00,88,1,3387,22470,,TNT,DSH
TK,8/19/2022,14:50:00,89,1,3387,11708,,TNT,Domestic Shorthair
6,8/19/2022,15:00:00,90,2,12329,29604,,Sick,Domestic Shorthair
L19,8/19/2022,15:00:00,90,1,L4558,29093,,Technician Appointment,Saint Bernard Mix
L19,8/19/2022,15:10:00,91,3,12320,20792,,Sick,Domestic Shorthair
M11,8/19/2022,15:10:00,91,2,20927,8150,,Sick,Domestic Shorthair
6,8/19/2022,15:20:00,92,2,10700,28771,,Sick,Domestic Shorthair
TK,8/19/2022,15:20:00,92,1,4585,19565,,Technician Appointment,Bernadoodle- Bernese and Poodl
M11,8/19/2022,15:30:00,93,2,21895,28310,,Recheck,Domestic Mediumhair
6,8/19/2022,15:40:00,94,2,6547,10015,,Emergency,Chihuahua Mix
L19,8/19/2022,15:40:00,94,1,13082,22402,,Technician Appointment,BORDER COLLIE
TK,8/19/2022,15:50:00,95,1,5550,8540,,Technician Appointment,Domestic Shorthair
6,8/19/2022,16:00:00,96,2,22994,29346,,New Client,Domestic Shorthair
M11,8/19/2022,16:00:00,96,1,6888,6888-1,,Technician Appointment,Domestic Mediumhair
TK,8/19/2022,16:00:00,96,1,9504,15626,,Technician Appointment,Coton de Tulear
M11,8/19/2022,16:10:00,97,2,22036,26965,,Sick,CAVALIER KING CHARLES SPANIEL
6,8/19/2022,16:20:00,98,2,18501,18501-2,,Sick,Domestic Mediumhair
L19,8/19/2022,16:20:00,98,2,7090,11052,,Preventative Care Exam,"Husky, Siberian"
M11,8/19/2022,16:30:00,99,2,20008,25770,,Recheck,"Shepherd, German"
TK,8/19/2022,16:30:00,99,1,11186,18945,,Technician Appointment,Bichon Frise Mix
6,8/19/2022,16:40:00,100,2,5436,8412,,Suture Removal,Pitbull
L19,8/19/2022,16:40:00,100,3,22561,28155,,Sick,"Goldendoodle, mini"
M11,8/19/2022,16:50:00,101,2,23052,29495,,New Client,Domestic Shorthair
TK,8/19/2022,16:50:00,101,1,22602,28292,,Technician Appointment,"Retriever, Chesapeake Bay"
M11,8/19/2022,17:10:00,103,2,9275,15787,,Recheck,BOSTON TERRIER
6,8/19/2022,17:20:00,104,1,22302,29612,,New Pet,MAINE COON CAT
6,8/19/2022,17:30:00,105,1,8924,14485,,Discharge,Domestic Mediumhair
6,8/20/2022,8:30:00,51,2,4767,18157,,Sick,GOLDEN RETRIEVER
M19,8/20/2022,8:30:00,51,2,11302,19145,,Senior Exam,Pomeranian
6,8/20/2022,8:50:00,53,2,22202,27320,,Sick,"Coonhound, Tree Walker"
6,8/20/2022,9:10:00,55,2,9080,25518,,Sick,"Bulldog, English"
M19,8/20/2022,9:10:00,55,2,1647,1647-2,,Senior Exam,Domestic Shorthair
6,8/20/2022,9:30:00,57,1,15747,26146,,Lab Work,Shepherd Mix
M19,8/20/2022,9:30:00,57,2,1647,1647-6,,EXAM WITH VACCINES,Domestic Shorthair
6,8/20/2022,9:40:00,58,2,8914,24776,,Senior Exam,"Shorthair, American"
M19,8/20/2022,9:50:00,59,1,1647,1647-4,,Technician Appointment,Domestic Longhair
M19,8/20/2022,10:00:00,60,3,9131,22322,,Sick,MAINE COON CAT
6,8/20/2022,10:20:00,62,2,14770,29206,,New Pet,Pitbull
M19,8/20/2022,10:30:00,63,2,9266,15146,,Recheck,Mixed
6,8/20/2022,10:40:00,64,2,5012,29622,,New Pet,Chihuahua
M19,8/20/2022,10:50:00,65,3,L6798,28529,,Sick,Westie-poo
6,8/20/2022,11:00:00,66,2,4220,4220-1,,Sick,Domestic Longhair
6,8/20/2022,11:20:00,68,2,4809,7555,6,Sick,Goldendoodle
M19,8/20/2022,11:20:00,68,2,22573,28199,,Preventative Care Exam,"Bulldog, French"
6,8/20/2022,11:40:00,70,2,15558,25213,,Preventative Care Exam,"Shorthair, American"
6,8/20/2022,12:00:00,72,2,22202,27322,,New Pet,LABRADOR RETRIEVER
6,8/20/2022,12:20:00,74,1,22202,27323,,New Pet,LABRADOR RETRIEVER
6,8/20/2022,12:30:00,75,1,3779,29137,,Technician Appointment,Domestic Shorthair
6,8/20/2022,12:40:00,76,1,21624,20150,,Sick,Domestic Mediumhair
6,8/20/2022,12:50:00,77,1,21992,26740,,Sick,Maltese Mix
6,8/20/2022,13:00:00,78,2,8121,12970,,Sick,Mixed
6,8/20/2022,13:20:00,80,2,7839,13107,,Sick,Domestic Shorthair
4,8/22/2022,7:30:00,45,1,11537,19561,,Drop off - Admit,American Bully - Pocket
4,8/22/2022,7:30:00,45,1,19514,27769,4,Surgery,Bulldog
4,8/22/2022,7:30:00,45,1,7237,11315,,Dental,"Pug, Chinese Mixed"
4,8/22/2022,7:40:00,46,1,9425,15461,,Dental,Pekingese
4,8/22/2022,7:40:00,46,1,17324,27984,4,Surgery,Mixed
4,8/22/2022,7:50:00,47,1,12539,21529,4,Surgery,"Blue Heeler, Australian Mix"
4,8/22/2022,7:50:00,47,1,5805,5805-1,,Dental,Chihuahua
4,8/22/2022,8:00:00,48,1,11050,18652,,Surgery,"Goldendoodle, mini"
4,8/22/2022,8:10:00,49,1,7237,11315,,Surgery,"Pug, Chinese Mixed"
4,8/22/2022,8:20:00,50,1,5805,5805-1,,Dental,Chihuahua
19,8/22/2022,8:30:00,51,2,18511,28767,,Preventative Care Exam,Labradoodle
4,8/22/2022,8:30:00,51,1,9425,15461,,Dental,Pekingese
4,8/22/2022,8:30:00,51,2,5805,5805-1,,Pre Surgical Exam,Chihuahua
L16,8/22/2022,8:30:00,51,2,9398,15407,,Preventative Care Exam,Domestic Shorthair
19,8/22/2022,8:50:00,53,2,22518,28034,,Preventative Care Exam,LABRADOR RETRIEVER
4,8/22/2022,8:50:00,53,2,13240,22682,4,Recheck,"Pug, Chinese"
L16,8/22/2022,8:50:00,53,2,9398,15406,,Preventative Care Exam,Domestic Shorthair
19,8/22/2022,9:10:00,55,2,430,26719,,Sick,LABRADOR RETRIEVER
4,8/22/2022,9:10:00,55,2,22483,27969,,Sick,LABRADOR RETRIEVER
L16,8/22/2022,9:10:00,55,2,22913,29136,,Preventative Care Exam,Goldendoodle
19,8/22/2022,9:30:00,57,2,22485,27972,,Preventative Care Exam,"Retriever, Labrador Mix"
4,8/22/2022,9:30:00,57,2,4090,23779,,Recheck,"Dwarf, Netherland"
L16,8/22/2022,9:30:00,57,2,20679,26010,,Sick,"Retriever, Labrador"
TK,8/22/2022,9:30:00,57,1,22682,28509,,Technician Appointment,Mixed
19,8/22/2022,9:50:00,59,2,17234,29395,,New Pet,Domestic Shorthair
4,8/22/2022,9:50:00,59,2,7039,9231,4,Preventative Care Exam,Domestic Shorthair
L16,8/22/2022,9:50:00,59,2,8397,20382,,Preventative Care Exam,BLUE HEELER
11,8/22/2022,10:00:00,60,2,4379,6904,,EXAM WITH VACCINES,"Retriever, Golden Mix"
TK,8/22/2022,10:00:00,60,1,11265,28616,,Technician Appointment,BERNESE MOUNTAIN DOG
19,8/22/2022,10:10:00,61,2,12336,20848,,Sick,"Terrier, Cairn"
4,8/22/2022,10:10:00,61,1,15052,19515,4,Recheck,Collie Mix
L16,8/22/2022,10:10:00,61,2,L2789,29455,,Euthanasia,Domestic Shorthair Mix
11,8/22/2022,10:20:00,62,2,20311,L6107,,Sick,Russian Blue
19,8/22/2022,10:30:00,63,2,3045,4807,,Exotic Exam,Polish
L16,8/22/2022,10:30:00,63,2,2544,4033,,Sick,Domestic Shorthair
TK,8/22/2022,10:30:00,63,1,L6355,13644,,TNT,"Cattle Dog, Australian"
11,8/22/2022,10:40:00,64,2,7335,11544,,Senior Exam,Poodle Mix
19,8/22/2022,10:50:00,65,2,23047,29486,,New Client,Goldendoodle
TK,8/22/2022,10:50:00,65,1,20487,25950,,TNT,"Rex, Mini"
11,8/22/2022,11:00:00,66,2,9662,15870,,Sick,Coton de Tulear
L16,8/22/2022,11:10:00,67,1,8036,24466,,Technician Appointment,Mixed
TK,8/22/2022,11:10:00,67,1,21992,26740,,Technician Appointment,Maltese Mix
11,8/22/2022,11:20:00,68,2,13802,23249,,Sick,Mixed
L16,8/22/2022,11:20:00,68,1,220,20377,tk,Technician Appointment,American Staffordshire Ter. x
19,8/22/2022,11:30:00,69,2,7800,29106,,Recheck,Persian Mix
L16,8/22/2022,11:30:00,69,2,9250,15124,,Sick,Whippet Mix
11,8/22/2022,11:40:00,70,2,4595,28208,,Recheck,Great Dane Mix
11,8/22/2022,12:00:00,72,2,17345,17345-1,11,Senior Exam,"Pinscher, Miniature"
19,8/22/2022,12:00:00,72,2,17141,17141-1,,Euthanasia,Domestic Shorthair
11,8/22/2022,12:20:00,74,2,11346,29609,,New Pet,Domestic Shorthair
19,8/22/2022,12:20:00,74,2,22573,28199,,Sick,"Bulldog, French"
11,8/22/2022,12:40:00,76,2,23019,29408,,New Client,Bichon Frise
11,8/22/2022,13:20:00,80,2,8341,24551,,Preventative Care Exam,Great Pyrenees Mix
19,8/22/2022,13:40:00,82,2,8995,19593,,Preventative Care Exam,Domestic Mediumhair
19,8/22/2022,14:00:00,84,3,8514,8514-6,,Sick,Domestic Shorthair
TK,8/22/2022,14:00:00,84,1,5089,12753,,Technician Appointment,JACK RUSSELL TERRIER
19,8/22/2022,14:30:00,87,2,13805,12136,,Preventative Care Exam,Domestic Shorthair
11,8/22/2022,14:40:00,88,2,22981,29313,,New Client,Bulldog Mix
19,8/22/2022,14:50:00,89,2,2522,3994,,Preventative Care Exam,Shih Tzu
11,8/22/2022,15:00:00,90,2,22981,29312,,New Client,"Bulldog, American"
TK,8/22/2022,15:00:00,90,1,8045,12832,,Lab Work,Domestic Shorthair
19,8/22/2022,15:10:00,91,3,1148,27683,,Sick,Boxer
11,8/22/2022,15:20:00,92,2,8872,17649,,Recheck,YORKSHIRE TERRIER
19,8/22/2022,15:40:00,94,2,4111,6490,,Preventative Care Exam,"Shepherd, German Mix"
11,8/22/2022,16:00:00,96,2,11177,24796,,Preventative Care Exam,Shepherd
4,8/22/2022,16:00:00,96,1,2497,3949,,Preventative Care Exam,Ragdoll
L16,8/22/2022,16:00:00,96,2,L7986,15587,,Preventative Care Exam,Domestic Shorthair
TK,8/22/2022,16:00:00,96,1,5144,5144-2,,TNT,"Retriever, Labrador"
4,8/22/2022,16:10:00,97,1,18152,25211,,Suture Removal,"Terrier, Jack Russell Mix"
11,8/22/2022,16:20:00,98,2,11411,19609,,Recheck,"Retriever, Labrador"
4,8/22/2022,16:20:00,98,1,18733,1251,4,Sick,Samoyed
4,8/22/2022,16:30:00,99,1,7143,19225,,Sick,"Sheepdog, Shetland Mix"
L16,8/22/2022,16:30:00,99,2,L5264,16946,,New Pet,Domestic Shorthair
TK,8/22/2022,16:30:00,99,1,9312,9312-1,,Technician Appointment,Birman
11,8/22/2022,16:40:00,100,2,13160,24153,,Sick,Collie Mix
4,8/22/2022,16:40:00,100,1,5092,15649,,Preventative Care Exam,Havanese Mix
TK,8/22/2022,16:40:00,100,1,12678,21566,,Technician Appointment,FRENCH BULLDOG
19,8/22/2022,16:50:00,101,1,6313,9567,,Emergency,Terrier Mix
4,8/22/2022,16:50:00,101,1,9995,7919,,Sick,COCKER SPANIEL
L16,8/22/2022,16:50:00,101,1,12028,20395,,TNT,Shih Tzu Mix
11,8/22/2022,17:00:00,102,2,2948,29394,,New Pet,"Bulldog, English"
4,8/22/2022,17:00:00,102,1,2109,3352,4,Preventative Care Exam,Goldendoodle
L16,8/22/2022,17:00:00,102,2,15249,27183,,Sick,GERMAN SHEPHERD
4,8/22/2022,17:10:00,103,1,21687,26339,4,Recheck,"Retriever, Labrador"
TK,8/22/2022,17:10:00,103,1,18093,25186,,Technician Appointment,Pitbull
11,8/22/2022,17:20:00,104,2,1035,4879,,Sick,Dachshund Mix
4,8/22/2022,17:20:00,104,1,22855,28975,4,Recheck,"Shorthair, American"
L16,8/22/2022,17:20:00,104,2,L6161,L3178,,Senior Exam,Domestic Mediumhair
TK,8/22/2022,17:20:00,104,2,22179,27267,,TNT,Beagle Mix
4,8/22/2022,17:30:00,105,1,2571,22675,4,Preventative Care Exam,Hound Mix
11,8/22/2022,17:40:00,106,2,8070,29382,,New Pet,DSH
4,8/22/2022,17:40:00,106,2,22184,27966,4,Exotic Exam,SNAKE
L16,8/22/2022,17:40:00,106,1,22192,27301,,Lab Work,Domestic Shorthair
L16,8/22/2022,17:50:00,107,2,11736,19895,16,Not Wellness,Domestic Shorthair
TK,8/22/2022,17:50:00,107,1,12485,21132,,Technician Appointment,"Blue Heeler, Australian Mix"
4,8/22/2022,18:00:00,108,1,13157,3283,4,Sick,Pitbull Mix
4,8/22/2022,18:10:00,109,1,16558,24545,,Recheck,"Shepherd, Australian Mix"
L16,8/22/2022,18:10:00,109,2,22366,27671,,Recheck,Pitbull Mix
4,8/22/2022,18:20:00,110,1,2583,13248,4,Preventative Care Exam,Domestic Shorthair
4,8/22/2022,18:30:00,111,1,16173,16173-3,,Sick,Domestic Shorthair
TK,8/22/2022,18:30:00,111,1,8684,21505,,Technician Appointment,COCKER SPANIEL
L16,8/22/2022,18:40:00,112,2,5795,8891,,Preventative Care Exam,Domestic Mediumhair
TK,8/22/2022,18:40:00,112,1,6451,28730,,TNT,Retriever Mixed
4,8/22/2022,18:50:00,113,1,17892,25096,,Senior Exam,SHETLAND SHEEPDOG
4,8/22/2022,19:00:00,114,2,9756,538,,Sick,"Retriever, Labrador"
L16,8/22/2022,19:00:00,114,2,1360,L1929,,Sick,Siamese Mix
TK,8/22/2022,19:10:00,115,1,11910,28338,,Technician Appointment,"Poodle, Toy"
4,8/22/2022,19:20:00,116,1,16381,9132,,Preventative Care Exam,"Pug, Chinese"
L16,8/22/2022,19:20:00,116,2,5496,29403,,New Pet,Rottweiler Mix
TK,8/22/2022,19:20:00,116,1,11910,28340,,Technician Appointment,YORKSHIRE TERRIER
4,8/22/2022,19:30:00,117,1,16381,24941,,Preventative Care Exam,PUG
19,8/23/2022,7:30:00,45,1,22212,27344,,Dental,Domestic Shorthair
4,8/23/2022,7:30:00,45,2,16874,24655,,Surgery,MINIATURE PINSCHER
TK,8/23/2022,7:30:00,45,1,MPVH,29164,,Technician Appointment,DSH
19,8/23/2022,7:40:00,46,1,5006,1738,,Dental,"Goldendoodle, mini"
19,8/23/2022,7:40:00,46,1,6694,10295,,Drop off - Admit,Domestic Shorthair
19,8/23/2022,7:50:00,47,1,22212,27344,,Dental,Domestic Shorthair
4,8/23/2022,7:50:00,47,1,1890,1890-13,4,Dental,Domestic Shorthair
19,8/23/2022,8:00:00,48,1,5006,1738,,Dental,"Goldendoodle, mini"
19,8/23/2022,8:30:00,51,2,11398,20405,,Preventative Care Exam,Cavapoo
4,8/23/2022,8:30:00,51,2,17228,2746,4,Senior Exam,Collie
19,8/23/2022,8:50:00,53,2,22202,27320,,Euthanasia,"Coonhound, Tree Walker"
4,8/23/2022,8:50:00,53,2,4279,25621,,EXAM WITH VACCINES,Bernadoodle- Bernese and Poodl
L12,8/23/2022,8:50:00,53,2,22108,27097,,Recheck,PUG
TK,8/23/2022,9:00:00,54,1,8216,13155,,TNT,Terrier Mix
19,8/23/2022,9:10:00,55,2,8216,29152,,Preventative Care Exam,Domestic Shorthair
4,8/23/2022,9:10:00,55,2,5297,8452,,Sick,Bulldog Mix
L12,8/23/2022,9:10:00,55,4,2544,4033,,Recheck,Domestic Shorthair
19,8/23/2022,9:30:00,57,2,16755,4640,,Not Wellness,Domestic Shorthair
4,8/23/2022,9:30:00,57,2,21396,26898,,Sick,LABRADOR RETRIEVER
TK,8/23/2022,9:30:00,57,1,4279,28796,,Technician Appointment,Bernadoodle- Bernese and Poodl
TK,8/23/2022,9:40:00,58,1,14548,1888,,TNT,DOBERMAN PINSCHER
19,8/23/2022,9:50:00,59,2,2075,11807,,Preventative Care Exam,Shih Tzu
4,8/23/2022,9:50:00,59,2,15352,15612,4,Preventative Care Exam,Bichon Frise Mix
L12,8/23/2022,10:00:00,60,1,L4747,24346,,Technician Appointment,Jack Russell Terrier Mix
19,8/23/2022,10:10:00,61,2,13553,1165,,Emergency,YORKSHIRE TERRIER
4,8/23/2022,10:10:00,61,2,7940,21795,,Sick,Domestic Shorthair
L12,8/23/2022,10:10:00,61,2,20047,25792,,Sick,LABRADOR RETRIEVER
TK,8/23/2022,10:20:00,62,1,22052,26985,,TNT,Hound Mix
19,8/23/2022,10:30:00,63,1,6527,9972,,Recheck,Pitbull Mix
4,8/23/2022,10:30:00,63,2,14280,23507,,Sick,"Retriever, Flat-Coated"
L12,8/23/2022,10:30:00,63,2,L6934,19951,,Preventative Care Exam,JUG
M11,8/23/2022,10:30:00,63,1,13744,13744-1,,Lab Work,Cockapoo
TK,8/23/2022,10:30:00,63,1,21359,22180,,Technician Appointment,JACK RUSSELL TERRIER
19,8/23/2022,10:40:00,64,2,9662,15870,,Sick,Coton de Tulear
M11,8/23/2022,10:40:00,64,2,22921,29159,,New Client,Chihuahua Mix
4,8/23/2022,10:50:00,65,2,5060,24365,,Not Wellness,Domestic
TK,8/23/2022,10:50:00,65,1,22484,27971,,Technician Appointment,Goldendoodle
M11,8/23/2022,11:00:00,66,1,22854,28973,,Technician Appointment,FRENCH BULLDOG
4,8/23/2022,11:10:00,67,2,22964,29268,4,New Client,"Poodle, Miniature"
L12,8/23/2022,11:10:00,67,2,9241,29245,,New Pet,"Sheepdog, Old English"
4,8/23/2022,11:30:00,69,1,22964,29269,4,New Client,Maltese
4,8/23/2022,11:40:00,70,1,22964,29270,4,New Client,Maltese
M11,8/23/2022,11:50:00,71,2,23009,29389,,New Client,FRENCH BULLDOG
6,8/23/2022,12:00:00,72,2,22979,29306,,Preventative Care Exam,LABRADOR RETRIEVER
M11,8/23/2022,12:10:00,73,1,11905,20221,,Technician Appointment,LABRADOR RETRIEVER
6,8/23/2022,12:20:00,74,2,21344,21344-2,,Recheck,"Sheepdog, Shetland"
M11,8/23/2022,12:30:00,75,2,11260,29474,,New Pet,Havanese Mix
6,8/23/2022,12:40:00,76,2,7959,12660,,Sick,Beagle
M11,8/23/2022,12:50:00,77,2,4278,6749,,Sick,Whippet Mix
6,8/23/2022,13:00:00,78,2,12506,29327,,New Pet,Domestic Shorthair
M11,8/23/2022,13:10:00,79,2,6759,23275,11,Sick,Domestic Shorthair
6,8/23/2022,13:20:00,80,2,12506,29326,,New Pet,Domestic Mediumhair
L12,8/23/2022,13:30:00,81,2,17623,23981,12,Preventative Care Exam,Rottweiler
6,8/23/2022,13:40:00,82,2,15625,27664,,Sick,DSH
L12,8/23/2022,13:50:00,83,2,L5446,L7393,,Sick,Poodle Mix
4,8/23/2022,14:00:00,84,1,7421,9081,,Senior Exam,Maltese Mix
